Date,Id,Open,High,Low,Close,Volume,SUPERT_7_3.0,SUPERTd_7_3.0,SUPERTl_7_3.0,SUPERTs_7_3.0,m_low,m_high,m_close,m_open,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,TwoDayHigh,TwoDayLow,FiveDayHigh,FiveDayLow,SMA100,SMA50,SMA21,SMA14,SMA7,AVVol,RSI,P,S1,S2,S3,R1,R2,R3,m_P,m_S1,m_S2,m_S3,m_R1,m_R2,m_R3,C_m_R1,C_m_R2,C_m_S1,C_m_S2,Tenkan-sen,Kijun-sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,BB_UL_Per,Support,Resistance,DCL_10_15,DCM_10_15,DCU_10_15
05-04-2022,119,3772,3835.6,3772,3814.8,2314950,3637.897394,1,3637.897394,3727.004529,3431.55,3779.5,3739.95,3552.5,3562.929094,3687.2,3811.470906,6.740665312,1.013394504,31.54029376,16.99373083,14.54656294,3835.6,3737.1,3780,3691,3663.7,3690.96,3704.74,3722.48,3756.23,2730428.67,63.5,3762.48,3744.96,3719.58,3676.68,3787.86,3805.38,3848.28,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,0.87,4.24,7.12,14.22,3748.4,3633.575,3690.9875,3701.55,3376.8,6.98,,3835.6,3661.2,3748.4,3835.6
06-04-2022,120,3809.3,3809.3,3731.15,3755.35,2051730,3637.897394,1,3637.897394,3727.004529,3431.55,3779.5,3739.95,3552.5,3574.105868,3694.97,3815.834132,6.54209003,0.749784609,31.19329579,13.31738628,17.87590951,3835.6,3731.15,3835.6,3706.2,3665.51,3693.48,3709.34,3726.86,3756.01,2549955.67,55.82,3807.47,3779.34,3743.87,3680.27,3842.94,3871.07,3934.67,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,1.57,4.96,5.96,12.98,3748.4,3633.575,3690.9875,3655.55,3451.6,6.76,,,3661.2,3748.4,3835.6
07-04-2022,121,3745.5,3745.5,3679,3684.15,2494830,3637.897394,1,3637.897394,3727.004529,3431.55,3779.5,3739.95,3552.5,3579.95934,3697.5475,3815.13566,6.36033265,0.443032105,24.88618005,5.608216434,19.27796361,3809.3,3679,3835.6,3720.2,3665.88,3693.12,3707.05,3721.17,3738.05,2452832.33,48.29,3765.27,3721.24,3687.12,3608.97,3799.39,3843.42,3921.57,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,3.3,6.75,4.48,11.4,3748.4,3633.575,3690.9875,3636.8,3448.8,6.57,,,3661.2,3748.4,3835.6
08-04-2022,122,3690,3705,3642.5,3685.65,2296770,3637.897394,1,3637.897394,3727.004529,3431.55,3779.5,3739.95,3552.5,3588.354793,3700.7825,3813.210207,6.075888377,0.432701198,19.78076253,0.402239131,19.3785234,3745.5,3642.5,3835.6,3679,3666.27,3692.82,3705.11,3716.43,3724.95,2448518,48.44,3702.88,3660.26,3636.38,3569.88,3726.76,3769.38,3835.88,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,4.43,7.92,3.45,10.3,3739.05,3633.575,3686.3125,3636.8,3261.95,6.27,,,3642.5,3739.05,3835.6
11-04-2022,123,3690,3712.35,3656.1,3696.4,2291660,3637.897394,1,3637.897394,3727.004529,3431.55,3779.5,3739.95,3552.5,3603.256417,3705.645,3808.033583,5.526086976,0.454853365,16.4129196,-2.372483038,18.78540264,3712.35,3642.5,3835.6,3642.5,3666.87,3692.96,3704.32,3713.76,3717.81,2356935.33,49.63,3677.72,3650.44,3615.22,3552.72,3712.94,3740.22,3802.72,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,4.22,7.7,3.83,10.71,3739.05,3633.575,3686.3125,3636.8,3293,5.68,,,3642.5,3739.05,3835.6
12-04-2022,124,3683,3739,3648.35,3691.1,4483480,3637.897394,1,3637.897394,3727.004529,3431.55,3779.5,3739.95,3552.5,3609.471514,3708.05,3806.628486,5.316998773,0.414027895,13.16446238,-4.496752206,17.66121459,3739,3648.35,3835.6,3642.5,3667.35,3692.89,3703.11,3710.74,3711.13,2421394,49.03,3688.28,3664.21,3632.03,3575.78,3720.46,3744.53,3800.78,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,3.48,6.93,3.61,10.48,3739.05,3633.575,3686.3125,3636.8,3321.75,5.46,,3739,3642.5,3739.05,3835.6
13-04-2022,125,3707,3709.85,3655.55,3661.95,1621670,3637.897394,1,3637.897394,3727.004529,3431.55,3779.5,3739.95,3552.5,3624.90536,3711.4525,3797.99964,4.663788109,0.214014236,8.143996328,-7.613774607,15.75777094,3739,3648.35,3809.3,3642.5,3667.24,3691.68,3699.37,3704.23,3698.84,2365818.33,45.76,3692.82,3646.64,3602.17,3511.52,3737.29,3783.47,3874.12,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,4.29,7.77,3.82,10.69,3739.05,3647.8,3693.425,3636.8,3288,4.78,,,3642.5,3739.05,3835.6
18-04-2022,126,3610,3610,3522.5,3528.05,3820790,3789.892634,-1,3637.897394,3789.892634,3431.55,3779.5,3739.95,3552.5,3589.141793,3705.06,3820.978207,6.257291731,-0.263512503,-6.563707803,-17.85718299,11.29347519,3709.85,3522.5,3745.5,3642.5,3664.49,3685.26,3683.8,3680.74,3656.14,2401133.33,34.4,3675.78,3641.71,3621.48,3567.18,3696.01,3730.08,3784.38,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,7.18,10.76,0.04,6.67,3679.05,3679.05,3679.05,3636.8,3167.65,6.46,,,3522.5,3679.05,3835.6
19-04-2022,127,3550,3563.55,3439.15,3471.9,3170010,3746.357972,-1,3637.897394,3746.357972,3431.55,3779.5,3739.95,3552.5,3541.077404,3695.0175,3848.957596,8.332306756,-0.22468936,-22.49124001,-27.02777216,4.536532148,3610,3439.15,3739,3522.5,3660.67,3676.89,3664.53,3652.9,3610.08,2442532.33,30.94,3553.52,3497.04,3466.02,3378.52,3584.54,3641.02,3728.52,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,8.57,12.2,-2.33,4.14,3637.375,3637.375,3637.375,3636.8,3226.95,8.69,3439.15,,3439.15,3637.375,3835.6
20-04-2022,128,3500,3569.15,3480,3556.8,2640370,3746.357972,-1,3637.897394,3746.357972,3431.55,3779.5,3739.95,3552.5,3528.623597,3691.5225,3854.421403,8.825567371,0.086484323,-27.94111579,-25.98211835,-1.958997439,3569.15,3439.15,3739,3439.15,3658.62,3672.18,3654.74,3640.08,3596.76,2451536,40.67,3491.53,3419.51,3367.13,3242.73,3543.91,3615.93,3740.33,3650.33,3521.16,3302.38,2954.43,3869.11,3998.28,4346.23,8.4,12.02,-1.17,5.38,3624.225,3637.375,3630.8,3636.8,3261.3,9.23,,,3439.15,3637.375,3835.6
