Time,Open,High,Low,Last,Change,Volume
11/8/2019,0.009149999,0.009161,0.009137999,0.009155,5.00E-06,1456
11/7/2019,0.009176,0.009196999,0.009137,0.009149999,-2.60E-05,1506
11/6/2019,0.009157,0.009182,0.009157,0.009176,1.90E-05,1458
11/5/2019,0.009207,0.009207,0.009157,0.009157,-5.00E-05,1451
11/4/2019,0.009237999,0.009237999,0.009207,0.009207,-3.30E-05,1477
11/1/2019,0.009258,0.009261,0.009236,0.00924,-1.80E-05,1468
10/31/2019,0.009187,0.009258,0.009186,0.009258,7.10E-05,1467
10/30/2019,0.009183999,0.00919,0.009155,0.009187,3.00E-06,1433
10/29/2019,0.009175,0.009183999,0.009172,0.009183999,9.00E-06,1423
10/28/2019,0.009202,0.009202,0.009175,0.009175,-2.20E-05,1464
10/25/2019,0.009206,0.009209,0.009195999,0.009196999,-9.00E-06,1431
10/24/2019,0.009203,0.00921,0.009199,0.009206,3.00E-06,1403
10/23/2019,0.009215,0.009230999,0.009203,0.009203,-1.20E-05,1449
10/22/2019,0.009207,0.009215,0.009203,0.009215,8.00E-06,1384
10/21/2019,0.009221,0.009225,0.009206,0.009207,-1.30E-05,1467
10/18/2019,0.009205,0.009219999,0.009201,0.009219999,1.50E-05,1411
10/17/2019,0.009195999,0.009211,0.009183999,0.009205,9.00E-06,1418
10/16/2019,0.009186,0.009201,0.009186,0.009195999,1.00E-05,1395
10/15/2019,0.009223999,0.009241,0.009186,0.009186,-3.80E-05,1446
10/14/2019,0.009229,0.009249,0.009219999,0.009223999,-1.00E-06,1487
10/11/2019,0.009263,0.009266,0.00921,0.009225,-3.80E-05,1431
10/10/2019,0.009303,0.009335999,0.009263,0.009263,-4.00E-05,1484
10/9/2019,0.009335,0.009345,0.009297,0.009303,-3.20E-05,1439
10/8/2019,0.009318,0.009355,0.009311,0.009335,1.70E-05,1390
10/7/2019,0.009354,0.009374999,0.00931,0.009318,-3.70E-05,1502
10/4/2019,0.009356,0.009373999,0.009338,0.009355,-1.00E-06,1403
10/3/2019,0.009329,0.009383,0.009323999,0.009356,2.70E-05,1382
10/2/2019,0.009281999,0.009334,0.009272,0.009329,4.70E-05,1318
10/1/2019,0.009248,0.009283999,0.009223999,0.009281999,3.40E-05,1345
9/30/2019,0.009262,0.009273999,0.009248,0.009248,-1.70E-05,1423
9/27/2019,0.009269,0.009281999,0.009247,0.009265,-4.00E-06,1382
9/26/2019,0.009275,0.009301,0.009267,0.009269,-6.00E-06,1409
9/25/2019,0.00934,0.00934,0.009273,0.009275,-6.50E-05,1425
9/24/2019,0.009301,0.009342,0.009280999,0.00934,3.90E-05,1385
9/23/2019,0.009281999,0.009312,0.009281999,0.009301,8.00E-06,1463
9/20/2019,0.009257,0.009293,0.009256,0.009293,3.60E-05,1438
9/19/2019,0.009222,0.009269999,0.009222,0.009257,3.50E-05,1513
9/18/2019,0.009245,0.009245,0.009222,0.009222,-2.30E-05,1375
9/17/2019,0.009249,0.00925,0.009233,0.009245,-4.00E-06,1435
9/16/2019,0.009288,0.009296,0.009249,0.009249,2.00E-06,1523
9/13/2019,0.009247,0.009258999,0.00924,0.009247,0,1439
9/12/2019,0.009275,0.009293,0.009246,0.009247,-2.80E-05,1476
9/11/2019,0.009299,0.009299,0.009275,0.009275,-2.40E-05,1465
9/10/2019,0.009326,0.009326,0.009299,0.009299,-2.70E-05,1443
9/9/2019,0.009358,0.009358,0.009326,0.009326,-2.80E-05,1493
9/6/2019,0.009346,0.009372,0.009341001,0.009354,8.00E-06,1464
9/5/2019,0.009399,0.009399,0.00933,0.009346,-5.30E-05,1502
9/4/2019,0.009435,0.009442,0.009399,0.009399,-3.60E-05,1490
9/3/2019,0.009416999,0.00945,0.009403,0.009435,1.80E-05,1449
9/2/2019,0.009434,0.009434,0.009401999,0.009416999,7.00E-06,1530
8/30/2019,0.009385,0.009418,0.009385,0.009409999,2.50E-05,1468
8/29/2019,0.009424999,0.009442,0.009376999,0.009385,-4.00E-05,1515
